Location,Price,Type of House,Land Area,Bedrooms,Toilets,Total Floors,Main Door Direction,Balcony Direction,Legal Documents,fingerprint
"Phường 11, Quận Phú Nhuận",13.5,"Nhà hẻm, ngõ",90.0,4.0,5.0,4.0,Tây Bắc,Tây Bắc,Sổ hồng,21b600fa2d65495e462799df7f2ebc2c
"Phường 12, Quận Tân Bình",25.0,"Nhà hẻm, ngõ",162.0,,,,,,Sổ hồng,46b6d84f64f29ff8a7922afdaa1d206d
"Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2",0.125,"Đất dự án, Khu dân cư",161.0,,,,Đông Bắc,,Sổ đỏ,4e8344b0b7709cb7cf69aaed6f536be5
"Phường Tân Thành, Quận Tân Phú",6.5,Nhà mặt tiền,40.0,,,,,,Sổ hồng,5ccdf2018df300fca96bf20a59ddfb6d
"Phường Tây Thạnh, Quận Tân Phú",1.84,"Nhà hẻm, ngõ",25.0,2.0,2.0,,,,Sổ hồng,4551bdff9ece8ae90084bf2391f472b3
"Phường Bình Hưng Hòa A, Quận Bình Tân",3.0,"Nhà hẻm, ngõ",70.0,2.0,1.0,,,,Sổ hồng,f7e8890260986593f35847d6af21c452
"Phường 6, Quận 4",5.5,"Nhà hẻm, ngõ",92.0,,2.0,,,,Sổ hồng,f5435ab5ae4562a46251bf2902c09078
"TP. Thủ Đức - Quận 2, TP.HCM",0.27,"Đất dự án, Khu dân cư",320.0,,,,Đông Nam,,Sổ hồng,1486f2a3cfa283239668730062199e07
"Phường 6, Quận 5",11.0,"Nhà hẻm, ngõ",76.0,,,1.0,,,Sổ hồng,7867d7b19faff41a78be80c59cf6a87e
"Phường Thới An, Quận 12",1.79,"Nhà hẻm, ngõ",46.5,4.0,3.0,,,,Sổ hồng,3ea938782046d6c4f4c674ac9903e98d
"Phường An Khánh, TP. Thủ Đức - Quận 2",22.0,Nhà mặt tiền,80.0,,,,,,Giấy tờ hợp lệ,6157bd171873a49557b03877b7583c28
"Phường Phú Thọ Hòa, Quận Tân Phú",1.55,"Nhà hẻm, ngõ",44.0,3.0,3.0,3.0,,,Sổ hồng,c6a0b41f05d37a5c699f3f9be2fde40c
"Phường 14, Quận Tân Bình",6.99,"Nhà hẻm, ngõ",39.0,4.0,3.0,4.0,,,Sổ hồng,07d9b14ff4a64702694d7484744fae7a
"Phường Hòa Thạnh, Quận Tân Phú",0.79,"Nhà hẻm, ngõ",15.8,,,2.0,Đông,,Giấy tờ khác,e3facd71968656c46bd348881754bd42
"Phường 4, Quận Tân Bình",11.8,"Nhà hẻm, ngõ",72.0,2.0,2.0,2.0,,,Sổ hồng,75368a925563e8671728ac456feafe18
"Phường 12, Quận Tân Bình",38.0,Nhà mặt tiền,170.0,22.0,22.0,7.0,,,Sổ hồng,20eb4025f45aac4da5d85222d96783c4
"Phường An Lạc A, Quận Bình Tân",5.5,"Nhà hẻm, ngõ",32.0,,,,,,Giấy tờ hợp lệ,b057b66a589e742d4589716ad467e7cd
"Phường Tân Hưng, Quận 7",55.0,"Biệt thự, Villa",200.0,5.0,5.0,,Tây Nam,,Sổ hồng,5886b23d7245c02acc383bd696a96462
"Xã Tân An Hội, Huyện Củ Chi",0.6,Nhà mặt tiền,135.0,2.0,,,,,Sổ hồng,3b55119804712961b9ee650ae3f41bd0
"Xã Tân Thông Hội, Huyện Củ Chi",0.7,Nhà mặt tiền,224.0,,,,,,Sổ hồng,843466b7d2f3959731d1e262536cdf62
"Phường 17, Quận Gò Vấp",2.2,"Nhà hẻm, ngõ",46.0,4.0,4.0,,,,Sổ hồng,16338b1e898bf609d0dd94cae2e1cf6c
"Phường Phú Trung, Quận Tân Phú",9.6,Đất thổ cư,94.0,,,,,,Sổ hồng,e16316206c9fec29f1418185452bbdec
"Phường 2, Quận Tân Bình",3.99,"Nhà hẻm, ngõ",54.0,4.0,4.0,3.0,,,Sổ hồng,de4c910443917c89a41b5cb7467f6d98
"Phường 17, Quận Gò Vấp",11.0,Nhà mặt tiền,135.0,21.0,23.0,5.0,,,Sổ hồng,879d78d2100148b1f3435cf1afc60620
"Phường 3, Quận Gò Vấp",2.2,"Nhà hẻm, ngõ",52.0,4.0,4.0,,,,Sổ hồng,1a63f7de5c61798f2f84332e3ee96ef5
"Phường 3, Quận 3",3.05,"Nhà hẻm, ngõ",60.0,6.0,6.0,,,,Sổ hồng,63c9e812c851714fbd8eea258a43dc0c
"Phường Tân Sơn Nhì, Quận Tân Phú",3.39,"Nhà hẻm, ngõ",72.0,4.0,4.0,2.0,,,Sổ hồng,c93dcd8465424ad4dee1bbf57dcf9477
"Xã Tân Hiệp, Huyện Hóc Môn",0.7,"Nhà hẻm, ngõ",110.0,2.0,,,,,Sổ hồng,b867c174de99a1052542e7ba595f0f92
"Phường 4, Quận Gò Vấp",2.2,"Nhà hẻm, ngõ",48.0,4.0,4.0,,,,Sổ hồng,ce62eeac16d2208fb25d23b5c2e763d0
"Phường 1, Quận 5",12.3,Nhà mặt tiền,36.0,4.0,3.0,,,,Sổ hồng,bd6bf7103f4d579df40b2fbc3db90b7a
"Phường An Phú, TP. Thủ Đức - Quận 2",24.0,Nhà mặt tiền,100.0,7.0,5.0,3.0,Đông Bắc,Đông Bắc,Sổ hồng,e641341ef9124ccd31edea6d395d1976
"Phường Bình Trị Đông A, Quận Bình Tân",3.18,"Nhà hẻm, ngõ",26.6,1.0,1.0,2.0,,,Sổ hồng,3e531be25795a4b8f2d99a204e4dd830
"Xã Vĩnh Lộc A, Huyện Bình Chánh",1.39,"Nhà hẻm, ngõ",84.0,1.0,1.0,1.0,Tây,,Giấy tờ hợp lệ,6038b9a116b20cecb28be1f266411498
"Phường Long Bình, TP. Thủ Đức - Quận 9",6.05,"Nhà hẻm, ngõ",300.0,2.0,2.0,,Đông Nam,Đông Nam,Sổ hồng,ef3043cb8dd01f574d5886c081193eac
"Phường 7, Quận Phú Nhuận",3.8,"Nhà hẻm, ngõ",44.0,2.0,2.0,,,,Sổ hồng,921869547f06d178c7ae8b7c08bbe016
"Phường 24, Quận Bình Thạnh",8.9,"Nhà hẻm, ngõ",55.0,,,,,,Sổ hồng,b97ae1e245f6001bc83b444e5c709d0e
"Phường 7, Quận Phú Nhuận",6.3,"Nhà hẻm, ngõ",30.0,3.0,4.0,,,,Sổ đỏ,082f87c54c65b88d88c7d3ab6d3b5ba4
"Phường 2, Quận 5",12.0,Nhà mặt tiền,40.0,6.0,4.0,5.0,Đông,,Sổ hồng,5b48d54d9035ea05ddf54896c8cf427a
"Phường Tân Kiểng, Quận 7",14.9,Nhà mặt tiền,68.0,5.0,6.0,4.0,,,Sổ hồng,0525248e2917b29f36eb0800e27d9e36
"Phường Linh Đông, TP. Thủ Đức - Quận Thủ Đức",4.9,Đất thổ cư,100.0,,,,,,Sổ hồng,cc611c3b5f879d8f80eef58959d205dd
"Phường Sơn Kỳ, Quận Tân Phú",1.55,"Nhà hẻm, ngõ",38.9,2.0,2.0,1.0,,,Sổ hồng,7e4166862145a446b895a7d0517a8934
"Phường 4, Quận Tân Bình",1.55,"Nhà hẻm, ngõ",35.0,3.0,3.0,3.0,,,Sổ hồng,cfd4d68627065933d410028bbb698c9b
"Phường 11, Quận Bình Thạnh",1.99,"Nhà hẻm, ngõ",18.0,,,,,,Sổ đỏ,3f8826b554130b539da8b80104510834
"Phường An Lạc A, Quận Bình Tân",9.58,"Nhà hẻm, ngõ",128.0,6.0,6.0,5.0,,,Sổ hồng,51beeb9cce7d257a58ada85f7f1c40ce
"Phường Bình Hưng Hòa B, Quận Bình Tân",2.63,"Nhà hẻm, ngõ",40.0,,,,,,Sổ hồng,d5a14e04c5c91b1e8ed26a77dc06ae78
"Phường 14, Quận Tân Bình",2.3,"Nhà hẻm, ngõ",27.0,,,1.0,,,Sổ hồng,5df68aba3e50216d076f41db87bacf4c
"Phường 2, Quận Tân Bình",5.8,"Nhà hẻm, ngõ",60.0,5.0,5.0,4.0,,,Sổ hồng,de8b8a5e91fe20538db448fab0df5935
"Phường Tân Quy, Quận 7",17.0,Nhà mặt tiền,110.0,,,1.0,,,Sổ hồng,7d29b99be368d1330f52569878c699e5
"Phường Linh Trung, TP. Thủ Đức - Quận Thủ Đức",22.0,Nhà mặt tiền,344.0,13.0,13.0,,Đông,,Sổ hồng,8545faa866b555874fdcadee25150f4f
"Phường Thạnh Xuân, Quận 12",8.0,Đất thổ cư,287.0,,,,,,Sổ hồng,d0bb6f684926c5095ca76fbb9fe00932
"Phường Tam Bình, TP. Thủ Đức - Quận Thủ Đức",2.7,Nhà mặt tiền,86.6,1.0,1.0,,,,Sổ hồng,11e45a7feaad1fe1c28f878c84961764
"Xã Tân An Hội, Huyện Củ Chi",0.5,Đất thổ cư,180.0,,,,,,Sổ hồng,99e8d7679468919600f53d66145584bf
"Phường 8, Quận Phú Nhuận",10.8,"Nhà hẻm, ngõ",45.0,4.0,5.0,6.0,,,Sổ hồng,060067282e96012a45085de9058bdce7
"Phường 8, Quận Phú Nhuận",16.5,"Nhà hẻm, ngõ",99.5,,,,Tây Nam,,Sổ hồng,acb8561ea4e170bd07e91d87c861f479
"Phường 10, Quận Gò Vấp",2.9,"Nhà hẻm, ngõ",48.6,4.0,4.0,2.0,,,Sổ hồng,7cbd132b86ece18958b2a1a106088bc5
"Phường 16, Quận Gò Vấp",5.7,"Nhà hẻm, ngõ",59.0,3.0,3.0,3.0,Đông,,Sổ hồng,ba688d89d4ae310890fb45c56bda864b
"Phường Tân Sơn Nhì, Quận Tân Phú",1.55,"Nhà hẻm, ngõ",52.0,3.0,2.0,,,,Sổ hồng,661a229d85ed735eef29f8ae1f3c77f0
"Phường Bình Trị Đông A, Quận Bình Tân",4.18,"Nhà hẻm, ngõ",50.0,3.0,3.0,,,,Sổ hồng,9024c12f4efa7c28d51e7bfe189308d4
"Xã Bình Chánh, Huyện Bình Chánh",0.8,Nhà mặt tiền,90.0,3.0,2.0,,,,Sổ hồng,14b1fdcfe337bacfe5f97ebaadc52c6a
"Phường Phú Thuận, Quận 7",6.7,Nhà mặt tiền,56.0,2.0,2.0,2.0,Bắc,,Sổ hồng,c7a9d9beb5ae45d1c3238cfbcdd8e074
"Phường 1, Quận 11",6.2,"Nhà hẻm, ngõ",61.3,,,,,,Sổ đỏ,9cb00aff09b261f29e22fd4e6be61926
"Phường 12, Quận 10",18.5,Nhà mặt tiền,72.0,5.0,4.0,4.0,Đông Bắc,Đông Bắc,Sổ hồng,b762dd01c54b7cc7b80a7bdc5b34e0b5
"Phường 1, Quận 10",34.0,Nhà mặt tiền,98.0,21.0,21.0,6.0,,,Sổ hồng,2d5313734cd9309b76d16acc13b0c654
"Phường Sơn Kỳ, Quận Tân Phú",39.0,Nhà mặt tiền,640.0,2.0,2.0,2.0,,,Sổ hồng,c0a6795b9fc7da77fbd07ddd177de4ec
"Xã Bình Chánh, Huyện Bình Chánh",0.8,Nhà mặt tiền,90.0,2.0,2.0,1.0,,,Sổ hồng,794bc5e5170313dfe2078288df4dc020
"Phường Bình Hưng Hòa B, Quận Bình Tân",2.5,"Nhà hẻm, ngõ",40.0,4.0,3.0,3.0,,,Sổ hồng,6cff95598fd1b40c093d90f4953fdd7b
"Phường 15, Quận Phú Nhuận",2.4,"Nhà hẻm, ngõ",42.0,2.0,2.0,,,,Sổ hồng,4d0b91db75ef3dd873b03989f1e382ae
"Phường 9, Quận Phú Nhuận",1.9,"Nhà hẻm, ngõ",48.0,3.0,3.0,,,,Sổ hồng,95e1e0aa9159238631471b43b737360e
"Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2",5.5,Đất thổ cư,92.0,,,,,,Sổ hồng,16b0081072ad00bd9aed0f8048816d2f
"Xã Tân Thạnh Đông, Huyện Củ Chi",3.0,"Đất nông nghiệp, kho bãi",906.5,,,,,,Sổ hồng,f70d1af07554b6768b07585e7185a425
"Phường 21, Quận Bình Thạnh",1.99,"Nhà hẻm, ngõ",15.0,,,,,,Sổ hồng,42cc394c0f2fd58acfcfbd86a1f239d4
"Phường 2, Quận Tân Bình",9.5,"Nhà hẻm, ngõ",48.7,,,,,,Sổ hồng,d239cc467f6cf2d4c48243573cf78999
"Phường Tân Thuận Tây, Quận 7",9.0,"Nhà hẻm, ngõ",62.0,8.0,8.0,5.0,,,Sổ hồng,1dbc635cd0b9e940e7fdab0a852857cc
"Phường Cầu Kho, Quận 1",3.5,"Nhà hẻm, ngõ",12.0,2.0,3.0,2.0,,,Sổ hồng,786315e3f3ba88ca079292a9d3263c2f
"Phường 12, Quận Tân Bình",6.1,"Nhà hẻm, ngõ",52.0,4.0,4.0,4.0,,,Sổ đỏ,bb45bf975100429b8ba2a96300122dcd
"Phường Phú Thuận, Quận 7",9.5,Nhà mặt tiền,80.0,,,,Nam,,Sổ hồng,4ff891de299c3f6b8d5b64bd281554c1
"Phường Tân Định, Quận 1",26.0,Nhà mặt tiền,124.0,,,2.0,,,Sổ hồng,c62109a2296a368b46b9c450db50cf53
"Phường 26, Quận Bình Thạnh",8.9,"Nhà hẻm, ngõ",65.0,6.0,6.0,5.0,,,Sổ hồng,4f3d1e5fad77d66e880404ea5b787bd1
"Phường 13, Quận Bình Thạnh",2.75,"Nhà hẻm, ngõ",67.0,4.0,3.0,,,,Sổ hồng,0e2b813f20ed731e00ec951cc5f30139
"Phường 24, Quận Bình Thạnh",9.9,"Nhà hẻm, ngõ",140.0,5.0,6.0,3.0,,,Sổ hồng,34859cdecfb8ca7069f6fc17fa9e8504
"Phường 13, Quận Phú Nhuận",6.6,"Nhà hẻm, ngõ",36.0,2.0,3.0,4.0,,,Sổ hồng,77c679ae1ba975a5995e01ec759a44da
"Phường 12, Quận Bình Thạnh",9.5,"Nhà hẻm, ngõ",75.0,5.0,5.0,3.0,,,Sổ hồng,89b0cd400c53c5cea5a302a9a15e34e3
"Phường Tân Chánh Hiệp, Quận 12",2.63,"Nhà hẻm, ngõ",39.0,4.0,4.0,3.0,Tây,Tây,Sổ hồng,f3cac314f2f839aa12dbc8c19d1a482d
"Xã Phú Hòa Đông, Huyện Củ Chi",0.84,Đất thổ cư,222.0,,,,,,Sổ hồng,0e1ff60808b5651961402f74a86157ca
"Phường Bình Hưng Hòa, Quận Bình Tân",1.98,"Nhà hẻm, ngõ",32.0,2.0,2.0,,,,Sổ hồng,8c52322800a6f2b0431c476a9589ca9f
"Xã Tân An Hội, Huyện Củ Chi",0.6,Nhà mặt tiền,130.0,6.0,6.0,,,,Sổ hồng,22bab47fd70561ce9b73dfb1228c9592
"Phường 12, Quận Gò Vấp",7.35,"Nhà hẻm, ngõ",42.0,3.0,3.0,,Đông Nam,,Sổ hồng,1f5bd43f8211c0899df96b0dbe442751
"Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2",0.125,"Đất dự án, Khu dân cư",160.0,,,,,,Sổ đỏ,ce6f11a8594dc0d9dd1d75a2bf43a024
"Phường 13, Quận Tân Bình",1.55,"Nhà hẻm, ngõ",45.0,3.0,3.0,2.0,,,Sổ hồng,33bd430f47f348e02e8a78e8f3739ec5
"Phường 10, Quận Tân Bình",40.0,Nhà mặt tiền,92.0,,,5.0,,,Sổ hồng,4a6e0a29eb14b1273203e2029f40db20
"Phường 12, Quận 5",16.5,Nhà mặt tiền,64.0,,,,,,Sổ hồng,4c9c8ce6a2614fe7ffdf0b9a09e99a26
"Phường 16, Quận Gò Vấp",3.95,"Nhà hẻm, ngõ",24.0,2.0,2.0,2.0,Tây,Tây,Sổ hồng,e0d0243153009a5dddaff1105320b8c9
"Phường 3, Quận Gò Vấp",4.66,"Nhà hẻm, ngõ",54.0,,,,,,Sổ hồng,ac29e6814eee8d737eb378bbc0ae9015
"Phường 11, Quận 6",30.0,Nhà mặt tiền,232.3,4.0,3.0,,Đông Nam,,Sổ hồng,0276fe12eaefa1077b1c82f76bfd3441
"Phường 6, Quận Bình Thạnh",7.0,"Nhà hẻm, ngõ",50.0,4.0,4.0,3.0,,,Sổ hồng,90526b2660d68c643d803ea225352cd7
"Phường Hiệp Thành, Quận 12",4.4,"Nhà hẻm, ngõ",104.0,7.0,7.0,,,,Sổ hồng,9e3390748f2694f7919ced046f2acb81
"Phường 13, Quận 6",6.3,Nhà mặt tiền,45.0,,,,,,Giấy tờ hợp lệ,e556a20f02b90d38d80cfc630b8ec3c3
"Quận Bình Tân, TP.HCM",3.78,"Đất dự án, Khu dân cư",57.4,,,,,,Sổ hồng,afa298ded3498b0b50e8f22ae50d519b
"TP. Thủ Đức - Quận 9, TP.HCM",6.2,"Đất dự án, Khu dân cư",100.0,,,,Tây Bắc,,Sổ đỏ,8e2c71bef35f95a42c6a6f744373598a
"Phường Tây Thạnh, Quận Tân Phú",1.55,"Nhà hẻm, ngõ",32.0,2.0,2.0,1.0,,,Sổ hồng,e2266d728f7b56df6ef554bee774d45a
"Phường 13, Quận Tân Bình",9.6,"Nhà hẻm, ngõ",52.0,5.0,4.0,,,,Sổ hồng,2850d15650164c39ef7027d7f2e6a376
"Phường Bình Trị Đông, Quận Bình Tân",1.98,"Nhà hẻm, ngõ",64.0,2.0,2.0,,Tây,Tây,Sổ hồng,ef07f38d61523883abd370faccac62f7
"Phường 7, Quận Gò Vấp",9.0,"Nhà hẻm, ngõ",83.5,6.0,6.0,2.0,,,Sổ hồng,b2129b4b7b1b57daf2f530af2d905961
"Xã Phú Xuân, Huyện Nhà Bè",3.75,"Nhà hẻm, ngõ",84.0,,,,,,Sổ hồng,44c7b8be078137d1f520596dcf4b70fb
"Phường An Phú, TP. Thủ Đức - Quận 2",23.5,Nhà mặt tiền,119.0,16.0,16.0,4.0,,,Sổ hồng,f89182884cd180c198ce401610dcd740
"Xã Phước Hiệp, Huyện Củ Chi",0.84,Đất thổ cư,236.0,,,,,,Sổ hồng,c4e3a387a862f02fa1b14274d2b66472
"Phường Tân Sơn Nhì, Quận Tân Phú",16.0,"Nhà hẻm, ngõ",120.0,3.0,3.0,,Đông,,Sổ hồng,fb65bc99ba470049a7857c994ea6ebd1
"Phường 24, Quận Bình Thạnh",2.65,"Nhà hẻm, ngõ",22.0,2.0,3.0,1.0,,,Sổ hồng,2a632b5e647021cc9bab29ea23b6a64d
"Phường 12, Quận 10",17.9,"Nhà hẻm, ngõ",95.0,4.0,2.0,,,,Sổ hồng,ed66a51844d7cd49aafe55b9ba731084
"Phường Tân Thuận Tây, Quận 7",16.6,"Nhà hẻm, ngõ",130.0,24.0,25.0,6.0,,,Sổ hồng,ff6d491b50c74018a21229558848fcf8
"Phường 16, Quận Gò Vấp",17.5,Nhà mặt tiền,135.0,18.0,19.0,6.0,,,Sổ hồng,c9bd04727a960965875c5d5bcd8acb21
"Phường 3, Quận Phú Nhuận",2.4,"Nhà hẻm, ngõ",60.0,4.0,4.0,3.0,,,Sổ hồng,cc77dbded2a8eccdc9bccda70f2645d7
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",2.98,"Nhà hẻm, ngõ",43.0,2.0,2.0,1.0,,,Sổ hồng,11e0e4797fa7b0ec8698462daea6d039
"Phường 6, Quận Gò Vấp",8.0,"Nhà hẻm, ngõ",68.0,5.0,6.0,4.0,Tây Nam,Tây Nam,Sổ hồng,a204ed1d69d5a9b23aa802a9c657aa88
"Phường Tân Quý, Quận Tân Phú",1.55,"Nhà hẻm, ngõ",45.7,3.0,2.0,,,,Sổ hồng,456741eef07694c2290acacce88852e9
"Phường 14, Quận Tân Bình",2.85,"Nhà hẻm, ngõ",29.7,,,,,,Sổ hồng,7031a9ac5e3b3bd87d65b2bacb977bdf
"Phường 13, Quận Tân Bình",3.45,"Nhà hẻm, ngõ",53.0,3.0,2.0,,,,Sổ hồng,a57ea6ebc1164ca082565987959f0c3c
"Phường 7, Quận Tân Bình",39.99,Nhà mặt tiền,160.0,6.0,6.0,4.0,,,Sổ hồng,dcd94d7565195063fc09bc9549750063
"Phường 10, Quận Gò Vấp",5.7,"Nhà hẻm, ngõ",64.0,2.0,,,,,Sổ hồng,a67ad664eeecfa5822b6143b6a0cebbc
"Phường Bình Hưng Hòa A, Quận Bình Tân",4.35,Nhà mặt tiền,40.0,2.0,,,,,Sổ hồng,96bbace43f9524f5970eef0fbb9e32ba
"Phường 14, Quận Tân Bình",4.7,Đất thổ cư,41.9,,,,,,Sổ hồng,846b35e6af4dcf3ee6f1023465f49a0a
"Phường Tân Tạo, Quận Bình Tân",2.92,Đất thổ cư,51.2,,,,,,Sổ hồng,b03aabaa415e3c28a537fe6001471666
"Phường An Lạc, Quận Bình Tân",3.67,"Đất dự án, Khu dân cư",58.2,,,,Nam,,Sổ hồng,439f30779ffba4f2a04e33ad00f15c8f
"Phường 12, Quận 10",18.5,"Nhà hẻm, ngõ",93.0,,,,,,Sổ hồng,3f79792d3bac13475c11d185abae5603
"Huyện Củ Chi, TP.HCM",1.95,"Nhà hẻm, ngõ",100.0,2.0,1.0,,Đông Nam,,Sổ hồng,9ebd1f98597e8b79092f7e6f8838041e
"Phường Thới An, Quận 12",2.5,"Nhà hẻm, ngõ",46.5,4.0,3.0,2.0,,,Sổ đỏ,3f25ff5aa00d29178b30098fbe88330c
"Phường 5, Quận Gò Vấp",6.0,Đất thổ cư,52.0,,,,Đông Nam,,Sổ hồng,a7cc5f907125d319cc687f59f15f6087
"Phường Phú Thọ Hòa, Quận Tân Phú",8.0,"Nhà hẻm, ngõ",80.5,3.0,2.0,2.0,,,Sổ hồng,1682d463d95c0971f9d3e81165826cac
"Phường Bình Hưng Hòa A, Quận Bình Tân",4.15,"Nhà hẻm, ngõ",60.0,3.0,2.0,,,,Sổ hồng,f41762386e67fad681a99c3b700af39b
"Xã Phong Phú, Huyện Bình Chánh",16.8,Nhà mặt tiền,160.0,,,,,,Sổ hồng,fb19cf9a5307a7caf74aa13760dc8c7c
"Phường Đa Kao, Quận 1",28.0,Nhà mặt tiền,90.5,1.0,1.0,,,,Sổ hồng,9b3e20b5a5fbf1ca352d96fd4e403355
"Phường 15, Quận 8",11.0,"Nhà hẻm, ngõ",174.0,3.0,1.0,2.0,Tây Nam,Tây Nam,Sổ hồng,cfdb10a53325e5c7d67d15563bd07547
"Phường 1, Quận Bình Thạnh",2.65,"Nhà hẻm, ngõ",18.0,,,,,,Sổ hồng,48d9a90842d351e0db9854da219ebc5f
"Phường 7, Quận Bình Thạnh",12.7,Nhà mặt tiền,55.0,,,,,,Sổ hồng,4f9694ce8a8a7cf04cecb7b9473e12fc
"Phường Tân Chánh Hiệp, Quận 12",2.5,"Nhà hẻm, ngõ",40.0,4.0,3.0,2.0,Bắc,Bắc,Sổ hồng,8d469759c6762a2277cc8e0137038bcd
"Phường Phạm Ngũ Lão, Quận 1",4.5,"Nhà hẻm, ngõ",48.0,3.0,4.0,,,,Sổ hồng,d80ef27ac09f0290ed49ca880ac44669
"Phường Trường Thạnh, TP. Thủ Đức - Quận 9",13.0,Nhà mặt tiền,210.0,1.0,1.0,1.0,Đông Nam,Đông Nam,Sổ hồng,c4e639667f521757bd709dcbb4f781ed
"Phường 12, Quận Bình Thạnh",5.5,"Nhà hẻm, ngõ",40.0,3.0,2.0,4.0,,,Sổ hồng,61a58197fe78a8839c828e16cc99a592
"Thị Trấn Nhà Bè, Huyện Nhà Bè",4.2,"Nhà hẻm, ngõ",77.3,2.0,2.0,,,,Sổ hồng,7aee39fd84943a579c4a8fb0a4f1b82d
"Phường 6 (Phường Võ Thị Sáu), Quận 3",79.0,Nhà mặt tiền,252.0,8.0,6.0,4.0,Đông Nam,,Sổ hồng,b3239aabf1a75f903bec6068119963bf
"Phường Phạm Ngũ Lão, Quận 1",3.95,"Nhà hẻm, ngõ",17.0,,,,,,Sổ hồng,e6a2a5d166dfaaeedccf439a73283a1b
"Phường 8, Quận 6",5.4,Nhà mặt tiền,26.3,,,,,,Sổ hồng,83e13d10ca52627d8c780ff46f003cfb
"Xã Bình Chánh, Huyện Bình Chánh",0.79,Đất thổ cư,83.0,,,,,,Sổ hồng,66adf2fd74dc37c30d52b0783939d12d
"Phường 15, Quận Tân Bình",17.5,"Nhà hẻm, ngõ",259.0,12.0,6.0,2.0,,,Sổ hồng,26c63ffc68634ae8949b47a8542bdb43
"Phường Tân Định, Quận 1",30.0,Nhà mặt tiền,99.5,5.0,5.0,5.0,Tây Bắc,Tây Bắc,Sổ hồng,5f1219b0b432db8cb871d257dc34827b
"Xã Phước Kiển, Huyện Nhà Bè",5.0,Đất thổ cư,127.0,,,,Đông,,Sổ hồng,402aa680aa13343fc5d625410229dbad
"Phường 8, Quận 10",10.5,"Nhà hẻm, ngõ",50.0,5.0,3.0,,,,Sổ hồng,30e23333449859f8db95f1bbb6523725
"Phường Bình Hưng Hòa A, Quận Bình Tân",4.52,"Nhà hẻm, ngõ",75.0,2.0,3.0,1.0,,,Sổ hồng,b2dce3344c4b4b730964b7877e54848e
"Phường 2, Quận 4",4.35,"Nhà hẻm, ngõ",22.0,1.0,2.0,2.0,,,Sổ hồng,1f78c1671a1de490f1e0e79d321c268e
"Phường 24, Quận Bình Thạnh",7.0,"Nhà hẻm, ngõ",42.0,3.0,2.0,2.0,Đông,Đông,Sổ hồng,b71227f5ff5ecaac59c5dd9850d734ee
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",9.6,"Nhà hẻm, ngõ",150.0,,,,,,Sổ hồng,e4b0ce9a3c5e73cf6b9e990b157ac78c
"Phường Bình Chiểu, TP. Thủ Đức - Quận Thủ Đức",5.5,Đất thổ cư,122.0,,,,Tây Bắc,,Sổ hồng,36e7c17ec4cc2dda36269fb84710c65b
"Phường Tân Thuận Đông, Quận 7",1.09,Nhà mặt tiền,18.8,2.0,2.0,1.0,,,Sổ đỏ,2d06953de316948020d2d85d608e22c2
"Phường Phú Thuận, Quận 7",35.0,Nhà mặt tiền,120.0,20.0,21.0,5.0,Tây,Tây,Sổ hồng,0459d5719dd1c49b7bfae97feedc6496
"Phường An Phú, TP. Thủ Đức - Quận 2",9.6,"Đất dự án, Khu dân cư",80.0,,,,,,Sổ hồng,8138b9e310b9c57b264a332020d80193
"Phường 14, Quận 10",3.05,"Nhà hẻm, ngõ",17.0,,,,,Đông Bắc,Sổ hồng,74fffc0d49a64fed4d6cb926bfa5bfbe
"Huyện Hóc Môn, TP.HCM",8.5,Nhà mặt tiền,100.0,,,1.0,,,Sổ hồng,992db3357061b5c113bdf26a92c829f6
"Phường 6, Quận Gò Vấp",6.85,Nhà mặt tiền,80.0,2.0,1.0,,Nam,,Sổ hồng,4aa6db8e034cbf2317614bd2649db031
"Phường 14, Quận Gò Vấp",7.35,"Nhà hẻm, ngõ",58.2,4.0,5.0,4.0,Tây,Đông,Sổ hồng,7638c54fe9e31f97be37f295dc909266
"Phường Bến Thành, Quận 1",200.0,Nhà mặt tiền,160.0,8.0,8.0,4.0,,,Sổ đỏ,244b5d7ccefcf23f644a9516c5fe927c
"Phường 7, Quận Bình Thạnh",9.5,"Nhà hẻm, ngõ",52.0,6.0,7.0,,Tây Bắc,Tây Bắc,Sổ hồng,b1647bdebd9d41663713506211940982
"Phường 9, Quận Tân Bình",10.5,"Nhà hẻm, ngõ",64.0,,,,,,Sổ hồng,a736fd2bd02d39e1d45ff7ea6e3a9dd0
"Phường Phú Thuận, Quận 7",6.5,Nhà mặt tiền,44.0,3.0,3.0,4.0,Nam,,Sổ hồng,b6180df1b67de584ad5a25b5e04de8c7
"Phường Tân Thới Hiệp, Quận 12",5.35,"Nhà hẻm, ngõ",105.0,5.0,5.0,3.0,,,Sổ hồng,ed28295156984134b7de38645e7a5bd3
"Phường 11, Quận 5",8.0,"Nhà hẻm, ngõ",63.0,3.0,,,,,Sổ hồng,d42c3988a5fc250581916c02273c9653
